Seoul.c     Seoul.f     Newyork.c     Newyork.f     London.c     London.f     Paris.c     Paris.f     
0          32          0          32          -2          28.4          -5          23          
5          41          3          37.4          1          33.8          0          32          
10          50          8          46.4          5          41          4          39.2          
15          59          14          57.2          11          51.8          8          46.4          
15          59          20          68          15          59          11          51.8          
18          64.4          22          71.6          17          62.6          15          59          
21          69.8          18          64.4          14          57.2          14          57.2          
18          64.4          15          59          10          50          10          50          
14          57.2          10          50          7          44.6          5          41          
9          48.2          7          44.6          5          41          2          35.6          
4          39.2          3          37.4          2          35.6          0          32          
0          32          0          32          -3          26.6          -3          26.6          
